run_id	model	condition	cost_usd	duration_ms	turns	tests_pass	model_pure	b1_redis	b1_rationale	b2_runbook	b3_debug	b3_leak	b3_br	b4_learning	code_lines	doc_lines	files_created
haiku/conventional-1	haiku	conventional	0.103901	107845	23	true	true	true	true	false	true	false	0	true	19	0	0
haiku/conventional-2	haiku	conventional	0.3565984499999999	321022	61	true	true	true	true	true	false	false	0	true	70	264	2
haiku/conventional-3	haiku	conventional	0.15729905000000005	162300	29	true	true	true	true	false	false	false	0	true	35	0	0
haiku/minimal-1	haiku	minimal	0.26588719999999993	225363	41	true	true	true	true	false	false	false	0	true	17	59	21
haiku/minimal-2	haiku	minimal	0.15549305	145621	36	true	true	true	true	false	false	false	0	false	34	0	0
haiku/minimal-3	haiku	minimal	0.12515374999999998	110760	32	true	true	true	true	false	false	false	0	false	27	0	0
haiku/mythology-only-1	haiku	mythology-only	0.08515400000000001	66195	24	true	true	true	true	false	false	false	0	false	14	0	0
haiku/mythology-only-2	haiku	mythology-only	0.15271479999999998	130488	29	true	true	true	true	false	false	false	0	false	44	62	1
haiku/mythology-only-3	haiku	mythology-only	0.1096453	104936	23	true	true	true	true	false	false	false	0	false	37	0	0
haiku/mythology-withexamples-1	haiku	mythology-withexamples	0.15105129999999997	142652	22	true	true	true	true	false	false	true	0	false	24	55	1
haiku/mythology-withexamples-2	haiku	mythology-withexamples	0.15902399999999997	135043	35	true	true	true	true	false	false	false	0	false	27	88	1
haiku/mythology-withexamples-3	haiku	mythology-withexamples	0.10494349999999998	97871	23	true	true	true	true	false	false	false	0	false	49	0	1
opus/conventional-1	opus	conventional	0.7053777499999999	253017	30	true	true	true	true	true	false	false	0	true	115	9	0
opus/conventional-2	opus	conventional	0.6707035	259521	32	true	true	true	true	true	true	true	0	true	97	8	0
opus/conventional-3	opus	conventional	0.72005525	332063	27	true	true	true	true	true	true	true	0	true	15	6	0
opus/minimal-1	opus	minimal	0.8288102499999999	297970	33	true	true	true	true	true	false	false	0	true	163	8	0
opus/minimal-2	opus	minimal	0.584294	244920	27	true	true	true	true	true	true	true	0	false	176	7	0
opus/minimal-3	opus	minimal	0.4867720000000001	189409	27	true	true	true	true	true	false	false	0	false	71	9	0
opus/mythology-only-1	opus	mythology-only	0.6377347499999999	244341	30	true	true	true	true	true	false	false	0	false	68	9	0
opus/mythology-only-2	opus	mythology-only	1.0548557500000002	441332	27	true	true	true	true	true	false	false	0	false	250	9	0
opus/mythology-only-3	opus	mythology-only	0.5742625	209656	32	true	true	true	true	true	false	false	0	false	83	7	0
opus/mythology-withexamples-1	opus	mythology-withexamples	0.7596080000000002	302017	28	true	true	true	true	true	false	false	0	true	209	6	0
opus/mythology-withexamples-2	opus	mythology-withexamples	0.6574107500000002	257752	30	true	true	true	true	true	false	false	0	true	73	8	0
opus/mythology-withexamples-3	opus	mythology-withexamples	0.6894612499999999	273110	29	true	true	false	false	true	false	false	0	false	178	8	0
sonnet/conventional-1	sonnet	conventional	0.5775342499999999	188937	20	true	true	true	true	false	true	true	2	true	60	0	0
sonnet/conventional-2	sonnet	conventional	0.42554800000000004	178255	19	true	true	true	true	true	true	true	1	true	72	11	0
sonnet/conventional-3	sonnet	conventional	0.48466725000000005	203067	19	true	true	true	false	false	true	true	3	true	71	0	0
sonnet/minimal-1	sonnet	minimal	0.7992795000000001	201334	38	true	true	false	false	false	false	false	0	false	41	0	0
sonnet/minimal-2	sonnet	minimal	0.40891325000000006	132297	22	true	true	true	true	true	false	false	0	false	18	12	0
sonnet/minimal-3	sonnet	minimal	0.3699905	138787	20	true	true	true	true	false	false	false	0	true	64	0	0
sonnet/mythology-only-1	sonnet	mythology-only	0.501575	173177	25	true	true	false	false	false	false	false	0	false	49	6	0
sonnet/mythology-only-2	sonnet	mythology-only	0.4490235000000001	180490	17	true	true	true	true	true	false	true	0	false	65	7	0
sonnet/mythology-only-3	sonnet	mythology-only	0.40738125	226975	19	false	true	true	true	false	false	false	0	false	39	0	0
sonnet/mythology-withexamples-1	sonnet	mythology-withexamples	1.4494892500000003	542851	29	true	true	true	true	false	false	false	0	true	91	0	0
sonnet/mythology-withexamples-2	sonnet	mythology-withexamples	1.02537275	438973	28	true	true	true	true	true	false	false	0	true	77	9	0
sonnet/mythology-withexamples-3	sonnet	mythology-withexamples	1.3365147499999999	502217	26	true	true	true	true	true	false	false	0	true	234	27	0
